id,title,difficulty,related_topics,acceptance_rate,url,rating,asked_by_faang
463,Island Perimeter,Easy,Hash Table,66.8,https://leetcode.com/problems/island-perimeter,95,1
464,Can I Win,Medium,"Dynamic Programming,Minimax",29.7,https://leetcode.com/problems/can-i-win,86,0
466,Count The Repetitions,Hard,Dynamic Programming,28.6,https://leetcode.com/problems/count-the-repetitions,52,1
467,Unique Substrings in Wraparound String,Medium,Dynamic Programming,36.1,https://leetcode.com/problems/unique-substrings-in-wraparound-string,89,1
468,Validate IP Address,Medium,String,25.1,https://leetcode.com/problems/validate-ip-address,19,1
469,Convex Polygon,Medium,Math,37.6,https://leetcode.com/problems/convex-polygon,27,1
470,Implement Rand10() Using Rand7(),Medium,"Random,Rejection Sampling",46.1,https://leetcode.com/problems/implement-rand10-using-rand7,75,1
471,Encode String with Shortest Length,Hard,Dynamic Programming,49.6,https://leetcode.com/problems/encode-string-with-shortest-length,95,1
472,Concatenated Words,Hard,"Dynamic Programming,Depth-first Search,Trie",43.7,https://leetcode.com/problems/concatenated-words,89,1
473,Matchsticks to Square,Medium,Depth-first Search,38.2,https://leetcode.com/problems/matchsticks-to-square,92,1
474,Ones and Zeroes,Medium,Dynamic Programming,44.1,https://leetcode.com/problems/ones-and-zeroes,86,1
475,Heaters,Medium,Binary Search,33.7,https://leetcode.com/problems/heaters,49,1
476,Number Complement,Easy,Bit Manipulation,65.2,https://leetcode.com/problems/number-complement,93,1
477,Total Hamming Distance,Medium,Bit Manipulation,50.7,https://leetcode.com/problems/total-hamming-distance,94,1
478,Generate Random Point in a Circle,Medium,"Math,Random,Rejection Sampling",39.1,https://leetcode.com/problems/generate-random-point-in-a-circle,34,0
480,Sliding Window Median,Hard,Sliding Window,38.9,https://leetcode.com/problems/sliding-window-median,93,1
483,Smallest Good Base,Hard,"Math,Binary Search",36.3,https://leetcode.com/problems/smallest-good-base,34,1
484,Find Permutation,Medium,Greedy,64.3,https://leetcode.com/problems/find-permutation,86,1
485,Max Consecutive Ones,Easy,Array,52.6,https://leetcode.com/problems/max-consecutive-ones,76,1
486,Predict the Winner,Medium,"Dynamic Programming,Minimax",49.0,https://leetcode.com/problems/predict-the-winner,95,1
487,Max Consecutive Ones II,Medium,Two Pointers,48.0,https://leetcode.com/problems/max-consecutive-ones-ii,98,0
488,Zuma Game,Hard,Depth-first Search,38.2,https://leetcode.com/problems/zuma-game,48,0
489,Robot Room Cleaner,Hard,Depth-first Search,72.9,https://leetcode.com/problems/robot-room-cleaner,95,1
490,The Maze,Medium,"Depth-first Search,Breadth-first Search",52.9,https://leetcode.com/problems/the-maze,90,1
491,Increasing Subsequences,Medium,Depth-first Search,47.7,https://leetcode.com/problems/increasing-subsequences,88,1
493,Reverse Pairs,Hard,"Binary Search,Divide and Conquer,Sort,Binary Indexed Tree,Segment Tree",27.1,https://leetcode.com/problems/reverse-pairs,90,1
494,Target Sum,Medium,"Dynamic Programming,Depth-first Search",45.6,https://leetcode.com/problems/target-sum,96,1
495,Teemo Attacking,Medium,Array,56.1,https://leetcode.com/problems/teemo-attacking,33,0
496,Next Greater Element I,Easy,Stack,65.9,https://leetcode.com/problems/next-greater-element-i,46,1
497,Random Point in Non-overlapping Rectangles,Medium,"Binary Search,Random",39.1,https://leetcode.com/problems/random-point-in-non-overlapping-rectangles,38,1
499,The Maze III,Hard,"Depth-first Search,Breadth-first Search",42.6,https://leetcode.com/problems/the-maze-iii,84,1
500,Keyboard Row,Easy,Hash Table,65.9,https://leetcode.com/problems/keyboard-row,46,0
501,Find Mode in Binary Search Tree,Easy,Tree,43.7,https://leetcode.com/problems/find-mode-in-binary-search-tree,76,1
502,IPO,Hard,"Heap,Greedy",41.8,https://leetcode.com/problems/ipo,91,1
503,Next Greater Element II,Medium,Stack,58.7,https://leetcode.com/problems/next-greater-element-ii,96,1
505,The Maze II,Medium,"Depth-first Search,Breadth-first Search",48.7,https://leetcode.com/problems/the-maze-ii,95,1
507,Perfect Number,Easy,Math,36.3,https://leetcode.com/problems/perfect-number,34,1
508,Most Frequent Subtree Sum,Medium,"Hash Table,Tree",59.2,https://leetcode.com/problems/most-frequent-subtree-sum,86,1
509,Fibonacci Number,Easy,Array,67.5,https://leetcode.com/problems/fibonacci-number,84,1
510,Inorder Successor in BST II,Medium,Tree,60.4,https://leetcode.com/problems/inorder-successor-in-bst-ii,95,0
513,Find Bottom Left Tree Value,Medium,"Tree,Depth-first Search,Breadth-first Search",62.8,https://leetcode.com/problems/find-bottom-left-tree-value,88,0
514,Freedom Trail,Hard,"Divide and Conquer,Dynamic Programming,Depth-first Search",45.0,https://leetcode.com/problems/freedom-trail,95,0
515,Find Largest Value in Each Tree Row,Medium,"Tree,Depth-first Search,Breadth-first Search",62.4,https://leetcode.com/problems/find-largest-value-in-each-tree-row,95,1
516,Longest Palindromic Subsequence,Medium,Dynamic Programming,55.8,https://leetcode.com/problems/longest-palindromic-subsequence,93,1
517,Super Washing Machines,Hard,"Math,Dynamic Programming",38.7,https://leetcode.com/problems/super-washing-machines,71,1
519,Random Flip Matrix,Medium,Random,37.8,https://leetcode.com/problems/random-flip-matrix,75,1
520,Detect Capital,Easy,String,54.1,https://leetcode.com/problems/detect-capital,73,1
521,Longest Uncommon Subsequence I,Easy,"String,Brainteaser",59.1,https://leetcode.com/problems/longest-uncommon-subsequence-i,8,1
522,Longest Uncommon Subsequence II,Medium,String,34.3,https://leetcode.com/problems/longest-uncommon-subsequence-ii,25,1
523,Continuous Subarray Sum,Medium,"Math,Dynamic Programming",24.8,https://leetcode.com/problems/continuous-subarray-sum,88,1
524,Longest Word in Dictionary through Deleting,Medium,"Two Pointers,Sort",50.1,https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,77,0
525,Contiguous Array,Medium,Hash Table,43.6,https://leetcode.com/problems/contiguous-array,95,1
526,Beautiful Arrangement,Medium,"Backtracking,Depth-first Search",62.0,https://leetcode.com/problems/beautiful-arrangement,85,0
527,Word Abbreviation,Hard,"String,Sort",56.4,https://leetcode.com/problems/word-abbreviation,60,1
528,Random Pick with Weight,Medium,"Binary Search,Random",44.7,https://leetcode.com/problems/random-pick-with-weight,30,1
529,Minesweeper,Medium,"Depth-first Search,Breadth-first Search",61.5,https://leetcode.com/problems/minesweeper,57,1
530,Minimum Absolute Difference in BST,Easy,Tree,55.0,https://leetcode.com/problems/minimum-absolute-difference-in-bst,93,1
531,Lonely Pixel I,Medium,"Array,Depth-first Search",59.7,https://leetcode.com/problems/lonely-pixel-i,87,0
532,K-diff Pairs in an Array,Medium,"Array,Two Pointers",35.5,https://leetcode.com/problems/k-diff-pairs-in-an-array,41,1
533,Lonely Pixel II,Medium,Array,48.2,https://leetcode.com/problems/lonely-pixel-ii,9,1
535,Encode and Decode TinyURL,Medium,"Hash Table,Math",82.3,https://leetcode.com/problems/encode-and-decode-tinyurl,33,1
536,Construct Binary Tree from String,Medium,"String,Tree",52.1,https://leetcode.com/problems/construct-binary-tree-from-string,85,1
537,Complex Number Multiplication,Medium,"Math,String",68.4,https://leetcode.com/problems/complex-number-multiplication,27,1
538,Convert BST to Greater Tree,Medium,"Tree,Depth-first Search,Binary Search Tree,Recursion",59.8,https://leetcode.com/problems/convert-bst-to-greater-tree,95,1
539,Minimum Time Difference,Medium,String,52.4,https://leetcode.com/problems/minimum-time-difference,79,0
540,Single Element in a Sorted Array,Medium,Binary Search,57.9,https://leetcode.com/problems/single-element-in-a-sorted-array,96,1
541,Reverse String II,Easy,String,49.5,https://leetcode.com/problems/reverse-string-ii,26,1
542,01 Matrix,Medium,"Depth-first Search,Breadth-first Search",41.1,https://leetcode.com/problems/01-matrix,95,1
543,Diameter of Binary Tree,Easy,Tree,49.5,https://leetcode.com/problems/diameter-of-binary-tree,94,1
544,Output Contest Matches,Medium,"String,Recursion",75.9,https://leetcode.com/problems/output-contest-matches,75,1
545,Boundary of Binary Tree,Medium,Tree,40.3,https://leetcode.com/problems/boundary-of-binary-tree,37,1
546,Remove Boxes,Hard,"Dynamic Programming,Depth-first Search",44.1,https://leetcode.com/problems/remove-boxes,94,1
547,Number of Provinces,Medium,"Depth-first Search,Union Find",60.7,https://leetcode.com/problems/number-of-provinces,94,1
548,Split Array with Equal Sum,Medium,Array,48.3,https://leetcode.com/problems/split-array-with-equal-sum,75,1
549,Binary Tree Longest Consecutive Sequence II,Medium,Tree,47.2,https://leetcode.com/problems/binary-tree-longest-consecutive-sequence-ii,93,1
551,Student Attendance Record I,Easy,String,46.1,https://leetcode.com/problems/student-attendance-record-i,90,1
552,Student Attendance Record II,Hard,Dynamic Programming,37.7,https://leetcode.com/problems/student-attendance-record-ii,85,1
553,Optimal Division,Medium,"Math,String",57.5,https://leetcode.com/problems/optimal-division,14,1
554,Brick Wall,Medium,Hash Table,50.8,https://leetcode.com/problems/brick-wall,95,0
555,Split Concatenated Strings,Medium,String,42.9,https://leetcode.com/problems/split-concatenated-strings,22,0
556,Next Greater Element III,Medium,String,33.5,https://leetcode.com/problems/next-greater-element-iii,81,0
557,Reverse Words in a String III,Easy,String,72.4,https://leetcode.com/problems/reverse-words-in-a-string-iii,93,1
559,Maximum Depth of N-ary Tree,Easy,"Tree,Depth-first Search,Breadth-first Search",69.6,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,96,1
560,Subarray Sum Equals K,Medium,"Array,Hash Table",43.7,https://leetcode.com/problems/subarray-sum-equals-k,97,1
561,Array Partition I,Easy,Array,73.5,https://leetcode.com/problems/array-partition-i,79,1
562,Longest Line of Consecutive One in Matrix,Medium,Array,46.2,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,85,1
563,Binary Tree Tilt,Easy,"Tree,Depth-first Search,Recursion",53.2,https://leetcode.com/problems/binary-tree-tilt,36,0
564,Find the Closest Palindrome,Hard,String,20.3,https://leetcode.com/problems/find-the-closest-palindrome,27,1
565,Array Nesting,Medium,Array,56.0,https://leetcode.com/problems/array-nesting,90,0
566,Reshape the Matrix,Easy,Array,61.1,https://leetcode.com/problems/reshape-the-matrix,90,0
567,Permutation in String,Medium,"Two Pointers,Sliding Window",44.5,https://leetcode.com/problems/permutation-in-string,97,1
568,Maximum Vacation Days,Hard,Dynamic Programming,41.7,https://leetcode.com/problems/maximum-vacation-days,86,1
572,Subtree of Another Tree,Easy,Tree,44.6,https://leetcode.com/problems/subtree-of-another-tree,95,1
573,Squirrel Simulation,Medium,Math,54.2,https://leetcode.com/problems/squirrel-simulation,90,0
575,Distribute Candies,Easy,Hash Table,64.4,https://leetcode.com/problems/distribute-candies,42,0
576,Out of Boundary Paths,Medium,"Dynamic Programming,Depth-first Search",36.1,https://leetcode.com/problems/out-of-boundary-paths,83,1
581,Shortest Unsorted Continuous Subarray,Medium,Array,32.9,https://leetcode.com/problems/shortest-unsorted-continuous-subarray,96,1
582,Kill Process,Medium,"Tree,Queue",63.9,https://leetcode.com/problems/kill-process,98,0
583,Delete Operation for Two Strings,Medium,String,50.4,https://leetcode.com/problems/delete-operation-for-two-strings,98,1
587,Erect the Fence,Hard,Geometry,36.6,https://leetcode.com/problems/erect-the-fence,59,1
588,Design In-Memory File System,Hard,Design,46.7,https://leetcode.com/problems/design-in-memory-file-system,88,1
590,N-ary Tree Postorder Traversal,Easy,Tree,73.6,https://leetcode.com/problems/n-ary-tree-postorder-traversal,93,1
591,Tag Validator,Hard,"String,Stack",34.8,https://leetcode.com/problems/tag-validator,18,0
592,Fraction Addition and Subtraction,Medium,Math,50.3,https://leetcode.com/problems/fraction-addition-and-subtraction,39,0
593,Valid Square,Medium,Math,43.3,https://leetcode.com/problems/valid-square,43,1
594,Longest Harmonious Subsequence,Easy,Hash Table,51.3,https://leetcode.com/problems/longest-harmonious-subsequence,90,1
598,Range Addition II,Easy,Math,50.2,https://leetcode.com/problems/range-addition-ii,37,0
599,Minimum Index Sum of Two Lists,Easy,Hash Table,51.9,https://leetcode.com/problems/minimum-index-sum-of-two-lists,76,0
600,Non-negative Integers without Consecutive Ones,Hard,Dynamic Programming,34.3,https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,87,0
604,Design Compressed String Iterator,Easy,Design,38.3,https://leetcode.com/problems/design-compressed-string-iterator,74,1
605,Can Place Flowers,Easy,"Array,Greedy",31.7,https://leetcode.com/problems/can-place-flowers,75,1
606,Construct String from Binary Tree,Easy,"String,Tree",55.8,https://leetcode.com/problems/construct-string-from-binary-tree,42,0
609,Find Duplicate File in System,Medium,"Hash Table,String",61.2,https://leetcode.com/problems/find-duplicate-file-in-system,44,1
611,Valid Triangle Number,Medium,Array,49.5,https://leetcode.com/problems/valid-triangle-number,93,0
616,Add Bold Tag in String,Medium,String,44.9,https://leetcode.com/problems/add-bold-tag-in-string,88,1
617,Merge Two Binary Trees,Easy,Tree,75.5,https://leetcode.com/problems/merge-two-binary-trees,96,1
621,Task Scheduler,Medium,"Array,Greedy,Queue",52.2,https://leetcode.com/problems/task-scheduler,84,1
622,Design Circular Queue,Medium,"Design,Queue",47.7,https://leetcode.com/problems/design-circular-queue,88,1
623,Add One Row to Tree,Medium,Tree,53.0,https://leetcode.com/problems/add-one-row-to-tree,85,0
624,Maximum Distance in Arrays,Medium,"Array,Hash Table",39.6,https://leetcode.com/problems/maximum-distance-in-arrays,89,0
625,Minimum Factorization,Medium,"Math,Recursion",33.0,https://leetcode.com/problems/minimum-factorization,53,0
628,Maximum Product of Three Numbers,Easy,"Array,Math",46.8,https://leetcode.com/problems/maximum-product-of-three-numbers,78,1
629,K Inverse Pairs Array,Hard,Dynamic Programming,31.7,https://leetcode.com/problems/k-inverse-pairs-array,84,0
630,Course Schedule III,Hard,Greedy,33.8,https://leetcode.com/problems/course-schedule-iii,96,1
631,Design Excel Sum Formula,Hard,Design,32.2,https://leetcode.com/problems/design-excel-sum-formula,48,0
632,Smallest Range Covering Elements from K Lists,Hard,"Hash Table,Two Pointers,String",54.5,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,98,1
633,Sum of Square Numbers,Medium,Math,32.6,https://leetcode.com/problems/sum-of-square-numbers,64,1
634,Find the Derangement of An Array,Medium,Math,40.6,https://leetcode.com/problems/find-the-derangement-of-an-array,53,1
635,Design Log Storage System,Medium,"String,Design",60.1,https://leetcode.com/problems/design-log-storage-system,69,0
636,Exclusive Time of Functions,Medium,Stack,55.0,https://leetcode.com/problems/exclusive-time-of-functions,37,1
637,Average of Levels in Binary Tree,Easy,Tree,66.1,https://leetcode.com/problems/average-of-levels-in-binary-tree,91,1
638,Shopping Offers,Medium,"Dynamic Programming,Depth-first Search",53.1,https://leetcode.com/problems/shopping-offers,58,1
639,Decode Ways II,Hard,Dynamic Programming,27.7,https://leetcode.com/problems/decode-ways-ii,50,1
640,Solve the Equation,Medium,Math,42.8,https://leetcode.com/problems/solve-the-equation,33,1
641,Design Circular Deque,Medium,"Design,Queue",56.5,https://leetcode.com/problems/design-circular-deque,90,1
642,Design Search Autocomplete System,Hard,"Design,Trie",46.5,https://leetcode.com/problems/design-search-autocomplete-system,93,1
643,Maximum Average Subarray I,Easy,Array,42.0,https://leetcode.com/problems/maximum-average-subarray-i,88,1
644,Maximum Average Subarray II,Hard,"Array,Binary Search",34.2,https://leetcode.com/problems/maximum-average-subarray-ii,90,1
645,Set Mismatch,Easy,"Hash Table,Math",41.1,https://leetcode.com/problems/set-mismatch,72,1
646,Maximum Length of Pair Chain,Medium,Dynamic Programming,53.1,https://leetcode.com/problems/maximum-length-of-pair-chain,94,1
647,Palindromic Substrings,Medium,"String,Dynamic Programming",62.7,https://leetcode.com/problems/palindromic-substrings,97,1
648,Replace Words,Medium,"Hash Table,Trie",59.0,https://leetcode.com/problems/replace-words,87,0
649,Dota2 Senate,Medium,Greedy,39.4,https://leetcode.com/problems/dota2-senate,56,0
650,2 Keys Keyboard,Medium,Dynamic Programming,50.3,https://leetcode.com/problems/2-keys-keyboard,93,1
651,4 Keys Keyboard,Medium,"Math,Dynamic Programming,Greedy",53.2,https://leetcode.com/problems/4-keys-keyboard,87,1
652,Find Duplicate Subtrees,Medium,Tree,52.9,https://leetcode.com/problems/find-duplicate-subtrees,89,1
653,Two Sum IV - Input is a BST,Easy,Tree,56.4,https://leetcode.com/problems/two-sum-iv-input-is-a-bst,93,0
654,Maximum Binary Tree,Medium,Tree,81.3,https://leetcode.com/problems/maximum-binary-tree,90,1
655,Print Binary Tree,Medium,Tree,56.3,https://leetcode.com/problems/print-binary-tree,30,0
656,Coin Path,Hard,Dynamic Programming,29.7,https://leetcode.com/problems/coin-path,67,1
657,Robot Return to Origin,Easy,String,74.0,https://leetcode.com/problems/robot-return-to-origin,65,1
658,Find K Closest Elements,Medium,Binary Search,42.2,https://leetcode.com/problems/find-k-closest-elements,86,1
659,Split Array into Consecutive Subsequences,Medium,"Heap,Greedy",44.5,https://leetcode.com/problems/split-array-into-consecutive-subsequences,77,0
660,Remove 9,Hard,Math,54.3,https://leetcode.com/problems/remove-9,43,0
661,Image Smoother,Easy,Array,52.4,https://leetcode.com/problems/image-smoother,19,1
662,Maximum Width of Binary Tree,Medium,Tree,39.7,https://leetcode.com/problems/maximum-width-of-binary-tree,85,0
663,Equal Tree Partition,Medium,Tree,39.8,https://leetcode.com/problems/equal-tree-partition,93,1
664,Strange Printer,Hard,"Dynamic Programming,Depth-first Search",41.6,https://leetcode.com/problems/strange-printer,91,0
665,Non-decreasing Array,Medium,Array,19.9,https://leetcode.com/problems/non-decreasing-array,81,0
666,Path Sum IV,Medium,Tree,56.7,https://leetcode.com/problems/path-sum-iv,43,1
667,Beautiful Arrangement II,Medium,Array,55.3,https://leetcode.com/problems/beautiful-arrangement-ii,36,1
668,Kth Smallest Number in Multiplication Table,Hard,Binary Search,47.9,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,97,1
669,Trim a Binary Search Tree,Medium,"Tree,Recursion",64.3,https://leetcode.com/problems/trim-a-binary-search-tree,93,1
670,Maximum Swap,Medium,"Array,Math",45.3,https://leetcode.com/problems/maximum-swap,94,1
671,Second Minimum Node In a Binary Tree,Easy,Tree,42.8,https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,43,0
672,Bulb Switcher II,Medium,Math,51.2,https://leetcode.com/problems/bulb-switcher-ii,15,0
673,Number of Longest Increasing Subsequence,Medium,Dynamic Programming,38.6,https://leetcode.com/problems/number-of-longest-increasing-subsequence,95,1
674,Longest Continuous Increasing Subsequence,Easy,Array,46.0,https://leetcode.com/problems/longest-continuous-increasing-subsequence,89,1
675,Cut Off Trees for Golf Event,Hard,Breadth-first Search,35.4,https://leetcode.com/problems/cut-off-trees-for-golf-event,63,1
676,Implement Magic Dictionary,Medium,"Hash Table,Trie",55.4,https://leetcode.com/problems/implement-magic-dictionary,82,0
677,Map Sum Pairs,Medium,Trie,54.1,https://leetcode.com/problems/map-sum-pairs,87,0
678,Valid Parenthesis String,Medium,String,31.7,https://leetcode.com/problems/valid-parenthesis-string,97,1
679,24 Game,Hard,Depth-first Search,47.3,https://leetcode.com/problems/24-game,83,1
680,Valid Palindrome II,Easy,String,37.1,https://leetcode.com/problems/valid-palindrome-ii,94,1
681,Next Closest Time,Medium,String,46.0,https://leetcode.com/problems/next-closest-time,41,1
682,Baseball Game,Easy,Stack,67.4,https://leetcode.com/problems/baseball-game,37,1
683,K Empty Slots,Hard,Ordered Map,36.1,https://leetcode.com/problems/k-empty-slots,52,1
684,Redundant Connection,Medium,"Tree,Union Find,Graph",59.2,https://leetcode.com/problems/redundant-connection,89,1
685,Redundant Connection II,Hard,"Tree,Depth-first Search,Union Find,Graph",33.2,https://leetcode.com/problems/redundant-connection-ii,81,1
686,Repeated String Match,Medium,String,32.9,https://leetcode.com/problems/repeated-string-match,55,1
687,Longest Univalue Path,Medium,"Tree,Recursion",37.5,https://leetcode.com/problems/longest-univalue-path,80,0
688,Knight Probability in Chessboard,Medium,Dynamic Programming,50.3,https://leetcode.com/problems/knight-probability-in-chessboard,84,1
689,Maximum Sum of 3 Non-Overlapping Subarrays,Hard,"Array,Dynamic Programming",47.3,https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,94,1
690,Employee Importance,Easy,"Hash Table,Depth-first Search,Breadth-first Search",59.0,https://leetcode.com/problems/employee-importance,52,1
691,Stickers to Spell Word,Hard,"Dynamic Programming,Backtracking",45.1,https://leetcode.com/problems/stickers-to-spell-word,92,1
692,Top K Frequent Words,Medium,"Hash Table,Heap,Trie",53.3,https://leetcode.com/problems/top-k-frequent-words,94,1
693,Binary Number with Alternating Bits,Easy,Bit Manipulation,60.0,https://leetcode.com/problems/binary-number-with-alternating-bits,87,0
694,Number of Distinct Islands,Medium,"Hash Table,Depth-first Search,Breadth-first Search",58.1,https://leetcode.com/problems/number-of-distinct-islands,94,1
695,Max Area of Island,Medium,"Array,Depth-first Search",65.1,https://leetcode.com/problems/max-area-of-island,97,1
696,Count Binary Substrings,Easy,String,58.3,https://leetcode.com/problems/count-binary-substrings,86,0
697,Degree of an Array,Easy,Array,54.5,https://leetcode.com/problems/degree-of-an-array,58,0
698,Partition to K Equal Sum Subsets,Medium,"Dynamic Programming,Recursion",45.8,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,94,1
699,Falling Squares,Hard,"Segment Tree,Ordered Map",43.2,https://leetcode.com/problems/falling-squares,84,1
700,Search in a Binary Search Tree,Easy,Tree,73.4,https://leetcode.com/problems/search-in-a-binary-search-tree,91,1
701,Insert into a Binary Search Tree,Medium,Tree,75.4,https://leetcode.com/problems/insert-into-a-binary-search-tree,94,1
702,Search in a Sorted Array of Unknown Size,Medium,Binary Search,69.0,https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size,94,0
703,Kth Largest Element in a Stream,Easy,"Heap,Design",50.9,https://leetcode.com/problems/kth-largest-element-in-a-stream,62,1
704,Binary Search,Easy,Binary Search,54.3,https://leetcode.com/problems/binary-search,95,1
705,Design HashSet,Easy,"Hash Table,Design",64.5,https://leetcode.com/problems/design-hashset,87,1
706,Design HashMap,Easy,"Hash Table,Design",64.1,https://leetcode.com/problems/design-hashmap,90,1
707,Design Linked List,Medium,"Linked List,Design",26.0,https://leetcode.com/problems/design-linked-list,49,1
708,Insert into a Sorted Circular Linked List,Medium,Linked List,32.7,https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,55,1
709,To Lower Case,Easy,String,80.2,https://leetcode.com/problems/to-lower-case,26,1
710,Random Pick with Blacklist,Hard,"Hash Table,Binary Search,Sort,Random",33.1,https://leetcode.com/problems/random-pick-with-blacklist,85,0
711,Number of Distinct Islands II,Hard,"Hash Table,Depth-first Search",49.6,https://leetcode.com/problems/number-of-distinct-islands-ii,48,1
712,Minimum ASCII Delete Sum for Two Strings,Medium,Dynamic Programming,59.6,https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings,96,0
713,Subarray Product Less Than K,Medium,"Array,Two Pointers",40.6,https://leetcode.com/problems/subarray-product-less-than-k,96,0
714,Best Time to Buy and Sell Stock with Transaction Fee,Medium,"Array,Dynamic Programming,Greedy",58.0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,97,1
715,Range Module,Hard,"Segment Tree,Ordered Map",40.7,https://leetcode.com/problems/range-module,92,1
716,Max Stack,Easy,Design,43.1,https://leetcode.com/problems/max-stack,80,1
717,1-bit and 2-bit Characters,Easy,Array,46.9,https://leetcode.com/problems/1-bit-and-2-bit-characters,28,1
718,Maximum Length of Repeated Subarray,Medium,"Array,Hash Table,Binary Search,Dynamic Programming",50.5,https://leetcode.com/problems/maximum-length-of-repeated-subarray,97,1
719,Find K-th Smallest Pair Distance,Hard,"Array,Binary Search,Heap",32.6,https://leetcode.com/problems/find-k-th-smallest-pair-distance,96,1
720,Longest Word in Dictionary,Easy,"Hash Table,Trie",49.4,https://leetcode.com/problems/longest-word-in-dictionary,45,1
721,Accounts Merge,Medium,"Depth-first Search,Union Find",52.2,https://leetcode.com/problems/accounts-merge,85,1
722,Remove Comments,Medium,String,36.4,https://leetcode.com/problems/remove-comments,28,1
723,Candy Crush,Medium,"Array,Two Pointers",73.1,https://leetcode.com/problems/candy-crush,71,0
724,Find Pivot Index,Easy,Array,46.0,https://leetcode.com/problems/find-pivot-index,84,1
725,Split Linked List in Parts,Medium,Linked List,53.1,https://leetcode.com/problems/split-linked-list-in-parts,86,1
726,Number of Atoms,Hard,"Hash Table,Stack,Recursion",51.0,https://leetcode.com/problems/number-of-atoms,79,1
727,Minimum Window Subsequence,Hard,"Dynamic Programming,Sliding Window",42.4,https://leetcode.com/problems/minimum-window-subsequence,94,1
728,Self Dividing Numbers,Easy,Math,75.6,https://leetcode.com/problems/self-dividing-numbers,73,0
729,My Calendar I,Medium,Array,53.6,https://leetcode.com/problems/my-calendar-i,96,1
730,Count Different Palindromic Subsequences,Hard,"String,Dynamic Programming",43.4,https://leetcode.com/problems/count-different-palindromic-subsequences,94,1
731,My Calendar II,Medium,Ordered Map,50.9,https://leetcode.com/problems/my-calendar-ii,89,0
732,My Calendar III,Hard,"Segment Tree,Ordered Map",62.2,https://leetcode.com/problems/my-calendar-iii,81,1
733,Flood Fill,Easy,Depth-first Search,56.0,https://leetcode.com/problems/flood-fill,89,1
734,Sentence Similarity,Easy,Hash Table,42.4,https://leetcode.com/problems/sentence-similarity,38,1
735,Asteroid Collision,Medium,Stack,43.3,https://leetcode.com/problems/asteroid-collision,92,1
736,Parse Lisp Expression,Hard,String,49.7,https://leetcode.com/problems/parse-lisp-expression,57,1
737,Sentence Similarity II,Medium,"Depth-first Search,Union Find",46.7,https://leetcode.com/problems/sentence-similarity-ii,94,1
738,Monotone Increasing Digits,Medium,Greedy,45.7,https://leetcode.com/problems/monotone-increasing-digits,89,0
739,Daily Temperatures,Medium,"Hash Table,Stack",64.8,https://leetcode.com/problems/daily-temperatures,97,1
740,Delete and Earn,Medium,Dynamic Programming,49.9,https://leetcode.com/problems/delete-and-earn,93,0
741,Cherry Pickup,Hard,Dynamic Programming,35.2,https://leetcode.com/problems/cherry-pickup,94,1
742,Closest Leaf in a Binary Tree,Medium,Tree,44.6,https://leetcode.com/problems/closest-leaf-in-a-binary-tree,84,1
743,Network Delay Time,Medium,"Heap,Depth-first Search,Breadth-first Search,Graph",45.7,https://leetcode.com/problems/network-delay-time,91,1
744,Find Smallest Letter Greater Than Target,Easy,Binary Search,45.6,https://leetcode.com/problems/find-smallest-letter-greater-than-target,46,0
745,Prefix and Suffix Search,Hard,Trie,35.5,https://leetcode.com/problems/prefix-and-suffix-search,66,1
746,Min Cost Climbing Stairs,Easy,"Array,Dynamic Programming",51.0,https://leetcode.com/problems/min-cost-climbing-stairs,82,1
747,Largest Number At Least Twice of Others,Easy,Array,43.2,https://leetcode.com/problems/largest-number-at-least-twice-of-others,39,1
748,Shortest Completing Word,Easy,Hash Table,57.6,https://leetcode.com/problems/shortest-completing-word,25,1
749,Contain Virus,Hard,Depth-first Search,48.3,https://leetcode.com/problems/contain-virus,31,0
750,Number Of Corner Rectangles,Medium,Dynamic Programming,67.2,https://leetcode.com/problems/number-of-corner-rectangles,87,1
751,IP to CIDR,Medium,Bit Manipulation,59.3,https://leetcode.com/problems/ip-to-cidr,11,0
752,Open the Lock,Medium,Breadth-first Search,53.0,https://leetcode.com/problems/open-the-lock,96,1
753,Cracking the Safe,Hard,"Math,Depth-first Search",52.5,https://leetcode.com/problems/cracking-the-safe,40,1
754,Reach a Number,Medium,Math,40.5,https://leetcode.com/problems/reach-a-number,57,0
755,Pour Water,Medium,Array,44.3,https://leetcode.com/problems/pour-water,31,0
756,Pyramid Transition Matrix,Medium,"Bit Manipulation,Depth-first Search",55.7,https://leetcode.com/problems/pyramid-transition-matrix,49,1
